work_year,job_role,job_category,experience_level,employment_type,work_setting,company_location,company_size,salary_in_usd
2021,Statistician,Data Science,Executive,Part-Time,Remote,Germany,Medium,120860
2020,Statistician,Analysis,Mid-Level,Full-Time,Hybrid,United Kingdom,Small,174051
2022,Data Engineer,Engineering,Entry-Level,Contract,Hybrid,India,Large,130513
2022,Machine Learning Engineer,ML/AI,Executive,Contract,In-person,United Kingdom,Small,148751
2021,Data Scientist,Analysis,Mid-Level,Part-Time,Remote,United States,Medium,74828
2020,Data Analyst,Data Science,Executive,Part-Time,Remote,Germany,Medium,168300
2022,Statistician,ML/AI,Senior,Part-Time,Hybrid,India,Large,150354
2021,Statistician,Data Science,Executive,Freelance,Remote,Germany,Small,104217
2022,Machine Learning Engineer,Data Science,Executive,Full-Time,In-person,United States,Small,136500
2022,Machine Learning Engineer,Analysis,Executive,Full-Time,In-person,China,Small,103803
2020,Data Engineer,Data Science,Senior,Full-Time,In-person,United States,Medium,100908
2022,Data Engineer,ML/AI,Executive,Freelance,Remote,China,Medium,68918
2020,Statistician,Engineering,Mid-Level,Full-Time,Remote,India,Large,171992
2022,Machine Learning Engineer,Analysis,Executive,Part-Time,Hybrid,India,Small,57785
2021,Data Scientist,ML/AI,Mid-Level,Full-Time,Hybrid,Mexico,Small,112757
2022,Data Analyst,Analysis,Executive,Freelance,In-person,United States,Medium,186250
2020,Machine Learning Engineer,Data Science,Executive,Freelance,Remote,Germany,Large,129490
2020,Machine Learning Engineer,ML/AI,Executive,Full-Time,Remote,Japan,Medium,101997
2021,Data Engineer,ML/AI,Entry-Level,Freelance,In-person,Germany,Large,139768
2022,Data Analyst,ML/AI,Entry-Level,Freelance,In-person,Japan,Medium,44052
2022,Statistician,Engineering,Senior,Full-Time,Hybrid,United Kingdom,Small,79383
2021,Machine Learning Engineer,ML/AI,Mid-Level,Freelance,Hybrid,India,Large,161399
2022,Statistician,ML/AI,Senior,Freelance,In-person,United States,Large,118301
2022,Machine Learning Engineer,Analysis,Mid-Level,Full-Time,Remote,United Kingdom,Small,100775
2020,Statistician,Data Science,Senior,Part-Time,Hybrid,Germany,Large,105614
2022,Data Analyst,ML/AI,Senior,Part-Time,In-person,Japan,Medium,168110
2022,Data Engineer,Engineering,Executive,Freelance,Remote,China,Large,38048
2021,Data Analyst,ML/AI,Executive,Contract,In-person,India,Small,44954
2021,Data Scientist,Data Science,Executive,Contract,Remote,Japan,Medium,142010
2020,Data Engineer,Engineering,Mid-Level,Full-Time,Hybrid,Germany,Medium,43225
2022,Data Analyst,Analysis,Executive,Full-Time,Remote,Mexico,Small,135622
2022,Data Scientist,Data Science,Senior,Part-Time,Remote,Germany,Small,174603
2022,Machine Learning Engineer,ML/AI,Mid-Level,Contract,In-person,United States,Small,39530
2020,Machine Learning Engineer,Analysis,Entry-Level,Full-Time,Remote,United Kingdom,Small,54791
2020,Statistician,Data Science,Entry-Level,Contract,Hybrid,India,Medium,135806
2021,Data Engineer,ML/AI,Mid-Level,Contract,In-person,United States,Large,162721
2020,Machine Learning Engineer,ML/AI,Senior,Freelance,In-person,Japan,Medium,174544
2022,Data Engineer,Engineering,Senior,Freelance,In-person,Mexico,Medium,120721
2022,Machine Learning Engineer,Analysis,Mid-Level,Contract,In-person,United Kingdom,Small,57134
2020,Statistician,Engineering,Mid-Level,Part-Time,In-person,India,Small,173516
2022,Data Analyst,ML/AI,Entry-Level,Full-Time,In-person,Japan,Medium,159326
2022,Statistician,Analysis,Entry-Level,Full-Time,In-person,India,Large,68217
2020,Data Scientist,Data Science,Senior,Part-Time,Hybrid,India,Medium,183138
2020,Machine Learning Engineer,Data Science,Executive,Freelance,Hybrid,China,Large,161067
2022,Data Scientist,Analysis,Mid-Level,Freelance,In-person,China,Small,66189
2022,Data Scientist,ML/AI,Executive,Part-Time,Remote,Mexico,Medium,148903
2022,Data Engineer,Data Science,Entry-Level,Part-Time,In-person,United Kingdom,Medium,196561
2021,Machine Learning Engineer,Engineering,Mid-Level,Freelance,In-person,China,Medium,57284
2021,Data Scientist,Analysis,Executive,Contract,In-person,Japan,Large,54698
2021,Data Analyst,Analysis,Senior,Freelance,Remote,China,Medium,49637
2020,Data Scientist,ML/AI,Senior,Contract,Hybrid,Mexico,Medium,90405
2021,Data Analyst,Data Science,Senior,Full-Time,Remote,Mexico,Large,91305
2020,Data Engineer,Analysis,Mid-Level,Full-Time,Remote,United States,Small,63556
2020,Data Scientist,Data Science,Executive,Contract,Remote,United States,Large,112176
2021,Statistician,Data Science,Mid-Level,Contract,Remote,United States,Large,150644
2021,Data Engineer,Analysis,Mid-Level,Freelance,In-person,Mexico,Medium,127012
2021,Data Analyst,Data Science,Mid-Level,Part-Time,Hybrid,India,Small,33654
2022,Data Engineer,Data Science,Executive,Contract,Remote,Germany,Small,70428
2021,Data Scientist,Data Science,Executive,Full-Time,Hybrid,United Kingdom,Small,159814
2022,Machine Learning Engineer,ML/AI,Senior,Freelance,In-person,United States,Large,199108
2020,Machine Learning Engineer,Data Science,Executive,Full-Time,In-person,United Kingdom,Small,125379
2022,Data Analyst,Data Science,Executive,Freelance,Hybrid,China,Medium,95355
2021,Data Analyst,Analysis,Mid-Level,Part-Time,In-person,India,Large,76257
2020,Machine Learning Engineer,Engineering,Senior,Part-Time,Hybrid,United Kingdom,Large,143435
2020,Data Analyst,Analysis,Entry-Level,Full-Time,Remote,United States,Large,135866
2020,Data Engineer,Data Science,Senior,Contract,In-person,United States,Medium,177059
2022,Statistician,Engineering,Executive,Contract,In-person,Mexico,Large,181882
2021,Statistician,Engineering,Mid-Level,Full-Time,Hybrid,India,Small,50311
2020,Data Engineer,Analysis,Senior,Contract,In-person,India,Medium,142695
2020,Statistician,Data Science,Entry-Level,Contract,Remote,Japan,Medium,84478
2020,Data Scientist,Engineering,Executive,Full-Time,In-person,India,Large,195992
2022,Data Engineer,ML/AI,Entry-Level,Full-Time,In-person,Germany,Small,38738
2022,Data Analyst,Analysis,Entry-Level,Part-Time,In-person,Germany,Medium,103424
2021,Data Engineer,Analysis,Executive,Full-Time,Hybrid,United States,Large,92232
2022,Machine Learning Engineer,Data Science,Entry-Level,Part-Time,Remote,China,Large,138400
2020,Data Analyst,Data Science,Executive,Part-Time,Remote,India,Large,35474
2021,Machine Learning Engineer,Analysis,Entry-Level,Freelance,In-person,Germany,Large,89026
2020,Data Analyst,ML/AI,Mid-Level,Contract,In-person,Mexico,Large,96024
2020,Statistician,Data Science,Senior,Full-Time,Hybrid,Germany,Medium,80974
2022,Data Engineer,Data Science,Mid-Level,Contract,Remote,Mexico,Large,185216
2021,Data Scientist,Analysis,Mid-Level,Freelance,In-person,Japan,Small,35622
2022,Data Analyst,Analysis,Entry-Level,Full-Time,Remote,China,Small,127366
2022,Data Analyst,Data Science,Senior,Full-Time,In-person,Mexico,Medium,69214
2021,Machine Learning Engineer,Engineering,Senior,Freelance,In-person,China,Large,123184
2020,Statistician,Data Science,Mid-Level,Contract,Hybrid,India,Medium,128233
2020,Machine Learning Engineer,Engineering,Entry-Level,Part-Time,Remote,Japan,Medium,186295
2021,Machine Learning Engineer,Analysis,Mid-Level,Freelance,Remote,China,Large,51865
2020,Statistician,Engineering,Executive,Freelance,In-person,China,Large,73026
2021,Data Scientist,ML/AI,Executive,Full-Time,In-person,Mexico,Small,119037
2021,Machine Learning Engineer,Analysis,Executive,Part-Time,Hybrid,United Kingdom,Large,187938
2022,Machine Learning Engineer,Data Science,Senior,Freelance,In-person,Japan,Medium,173488
2021,Data Analyst,Data Science,Executive,Contract,Remote,China,Small,55775
2022,Statistician,Analysis,Mid-Level,Freelance,Hybrid,United Kingdom,Medium,190152
2020,Data Engineer,Analysis,Executive,Contract,Remote,United Kingdom,Medium,49374
2020,Data Scientist,ML/AI,Senior,Full-Time,Hybrid,China,Large,88451
2020,Data Scientist,Data Science,Senior,Freelance,Remote,Mexico,Large,112141
2020,Statistician,Data Science,Executive,Contract,In-person,India,Small,45684
2022,Data Analyst,ML/AI,Senior,Full-Time,Remote,United Kingdom,Medium,54002
2020,Data Analyst,Data Science,Executive,Full-Time,Remote,United Kingdom,Medium,121551
2021,Statistician,Engineering,Senior,Full-Time,Hybrid,Japan,Large,160704
2021,Data Analyst,Analysis,Entry-Level,Freelance,Remote,India,Medium,184044
2021,Data Scientist,Engineering,Entry-Level,Full-Time,In-person,Mexico,Medium,36309
2022,Data Scientist,Data Science,Mid-Level,Full-Time,Hybrid,India,Medium,114675
2020,Data Engineer,Engineering,Entry-Level,Contract,Hybrid,United Kingdom,Medium,98326
2020,Statistician,Data Science,Entry-Level,Full-Time,Remote,Mexico,Large,37826
2020,Machine Learning Engineer,Data Science,Senior,Freelance,Hybrid,Japan,Small,173206
2022,Machine Learning Engineer,ML/AI,Mid-Level,Part-Time,In-person,Japan,Large,180765
2021,Data Engineer,Analysis,Executive,Full-Time,Remote,Japan,Medium,151840
2021,Data Engineer,Engineering,Executive,Freelance,In-person,Japan,Small,165126
2020,Data Analyst,ML/AI,Mid-Level,Full-Time,Remote,United States,Large,177162
2021,Data Engineer,ML/AI,Mid-Level,Freelance,Remote,Mexico,Large,135985
2021,Data Engineer,Data Science,Executive,Full-Time,Hybrid,China,Small,45569
2022,Machine Learning Engineer,ML/AI,Senior,Contract,Hybrid,United Kingdom,Large,193299
2022,Data Analyst,Analysis,Mid-Level,Part-Time,Hybrid,United Kingdom,Large,36508
2022,Data Engineer,Data Science,Senior,Part-Time,Remote,United Kingdom,Medium,177680
2022,Data Engineer,Engineering,Senior,Freelance,Hybrid,India,Small,119059
2020,Data Analyst,Analysis,Executive,Freelance,In-person,Mexico,Small,127475
2022,Statistician,Analysis,Entry-Level,Part-Time,Hybrid,India,Medium,160447
2021,Data Analyst,Engineering,Executive,Contract,In-person,Japan,Small,160819
2020,Machine Learning Engineer,Analysis,Senior,Contract,Hybrid,China,Large,140648
2021,Statistician,Data Science,Executive,Full-Time,Remote,Mexico,Medium,54520
2021,Data Scientist,Data Science,Senior,Contract,Hybrid,India,Large,60932
2021,Data Analyst,Data Science,Entry-Level,Part-Time,In-person,Germany,Medium,49734
2022,Machine Learning Engineer,Data Science,Mid-Level,Part-Time,In-person,Mexico,Medium,99363
2022,Statistician,Engineering,Entry-Level,Contract,Hybrid,United Kingdom,Medium,80555
2020,Data Analyst,Analysis,Mid-Level,Contract,In-person,United Kingdom,Large,46257
2020,Data Engineer,ML/AI,Mid-Level,Part-Time,Remote,United States,Large,193266
2022,Data Analyst,Analysis,Mid-Level,Part-Time,Hybrid,United States,Small,177865
2021,Data Scientist,Data Science,Executive,Part-Time,In-person,Germany,Small,195756
2020,Data Analyst,ML/AI,Entry-Level,Part-Time,Hybrid,United States,Large,123550
2022,Statistician,Engineering,Senior,Part-Time,Hybrid,China,Large,83219
2022,Statistician,Data Science,Senior,Contract,Hybrid,Japan,Small,163931
2022,Data Analyst,Data Science,Mid-Level,Contract,Hybrid,Japan,Small,69840
2021,Statistician,Data Science,Mid-Level,Full-Time,Hybrid,Mexico,Medium,127392
2022,Data Engineer,Engineering,Senior,Full-Time,Remote,United Kingdom,Large,89327
2022,Data Analyst,ML/AI,Executive,Freelance,Hybrid,Japan,Small,143827
2022,Data Engineer,Engineering,Mid-Level,Full-Time,Remote,United States,Large,64819
2022,Data Engineer,Engineering,Senior,Contract,Hybrid,Germany,Large,115621
2020,Machine Learning Engineer,Analysis,Mid-Level,Full-Time,In-person,China,Large,131272
2020,Data Analyst,Analysis,Entry-Level,Full-Time,Hybrid,Japan,Small,71704
2022,Statistician,Analysis,Senior,Contract,Hybrid,United Kingdom,Medium,90379
2021,Data Engineer,Analysis,Entry-Level,Part-Time,In-person,United Kingdom,Medium,185390
2020,Machine Learning Engineer,Engineering,Executive,Contract,Remote,China,Large,110987
2022,Data Analyst,ML/AI,Mid-Level,Contract,Remote,United States,Large,141561
2020,Data Analyst,Engineering,Entry-Level,Freelance,Remote,Japan,Medium,35274
2020,Data Scientist,Data Science,Entry-Level,Freelance,Remote,United States,Large,179298
2021,Data Scientist,ML/AI,Entry-Level,Freelance,In-person,United Kingdom,Large,126462
2022,Data Engineer,Analysis,Entry-Level,Part-Time,Remote,Germany,Medium,49046
2022,Data Scientist,Analysis,Entry-Level,Full-Time,Remote,Japan,Small,104210
2021,Data Engineer,Data Science,Mid-Level,Freelance,Remote,Mexico,Large,148724
2021,Statistician,ML/AI,Senior,Contract,Remote,Germany,Large,182982
2022,Data Engineer,Data Science,Entry-Level,Freelance,Remote,China,Small,172575
2022,Data Scientist,Data Science,Senior,Contract,Hybrid,Japan,Small,78392
2021,Statistician,Engineering,Senior,Part-Time,Hybrid,United Kingdom,Large,91472
2020,Data Scientist,Data Science,Executive,Freelance,Remote,Japan,Large,100904
2020,Data Engineer,ML/AI,Mid-Level,Contract,In-person,United Kingdom,Small,119063
2021,Machine Learning Engineer,Data Science,Entry-Level,Full-Time,In-person,India,Large,75335
2020,Data Analyst,ML/AI,Senior,Part-Time,Hybrid,United Kingdom,Small,52487
2021,Data Scientist,Analysis,Executive,Contract,In-person,United Kingdom,Small,66593
2020,Data Engineer,Data Science,Senior,Full-Time,Hybrid,China,Large,105927
2020,Statistician,ML/AI,Entry-Level,Full-Time,Remote,Japan,Large,39874
2022,Data Scientist,Analysis,Mid-Level,Contract,Remote,Germany,Small,84822
2022,Data Scientist,ML/AI,Mid-Level,Freelance,In-person,United Kingdom,Large,83948
2020,Data Analyst,Analysis,Entry-Level,Full-Time,In-person,Japan,Small,33608
2020,Data Engineer,Engineering,Entry-Level,Part-Time,In-person,United Kingdom,Large,125987
2022,Machine Learning Engineer,Data Science,Executive,Full-Time,Remote,United States,Medium,135182
2022,Statistician,Data Science,Mid-Level,Freelance,Remote,United States,Small,57546
2022,Data Engineer,Analysis,Mid-Level,Part-Time,In-person,United States,Small,145999
2021,Statistician,Engineering,Senior,Part-Time,In-person,United States,Large,130804
2020,Data Scientist,ML/AI,Senior,Part-Time,In-person,Germany,Small,92496
2022,Data Analyst,Engineering,Senior,Contract,In-person,China,Small,85186
2020,Data Analyst,ML/AI,Executive,Full-Time,Hybrid,United Kingdom,Large,166302
2021,Machine Learning Engineer,ML/AI,Senior,Freelance,In-person,United States,Small,55720
2021,Data Analyst,Data Science,Executive,Contract,In-person,Japan,Medium,73023
2022,Data Scientist,Analysis,Entry-Level,Contract,Hybrid,United States,Small,198674
2021,Machine Learning Engineer,ML/AI,Executive,Part-Time,Hybrid,India,Large,97082
2020,Data Engineer,Data Science,Senior,Contract,Hybrid,India,Medium,45050
2022,Data Analyst,Data Science,Executive,Full-Time,Hybrid,China,Small,143353
2020,Machine Learning Engineer,ML/AI,Executive,Contract,In-person,Germany,Large,82164
2020,Data Scientist,Data Science,Executive,Contract,Remote,Mexico,Small,158470
2021,Statistician,ML/AI,Mid-Level,Part-Time,Remote,India,Large,60134
2021,Statistician,Data Science,Entry-Level,Part-Time,Remote,Japan,Small,176712
2021,Data Scientist,Data Science,Mid-Level,Contract,Remote,United States,Large,44284
2021,Data Scientist,ML/AI,Senior,Part-Time,Remote,India,Large,90526
2021,Statistician,Engineering,Entry-Level,Freelance,Remote,India,Large,164495
2022,Machine Learning Engineer,Data Science,Executive,Freelance,Hybrid,Germany,Medium,58577
2020,Statistician,Data Science,Executive,Freelance,Hybrid,India,Large,151867
2020,Data Scientist,Data Science,Entry-Level,Contract,Remote,United States,Medium,148247
2020,Data Analyst,Data Science,Senior,Full-Time,In-person,China,Small,88900
2020,Data Engineer,Engineering,Entry-Level,Full-Time,In-person,Mexico,Medium,114606
2021,Data Analyst,Engineering,Entry-Level,Part-Time,Remote,China,Small,36066
2020,Data Analyst,Engineering,Entry-Level,Full-Time,In-person,China,Large,134342
2022,Data Scientist,Engineering,Entry-Level,Full-Time,Hybrid,Mexico,Large,38583
2022,Statistician,Data Science,Senior,Contract,Hybrid,United Kingdom,Medium,68057
2020,Machine Learning Engineer,ML/AI,Executive,Part-Time,In-person,United States,Small,183676
2020,Data Analyst,Analysis,Entry-Level,Full-Time,Remote,India,Medium,56564
2022,Statistician,Engineering,Entry-Level,Freelance,Hybrid,India,Large,91429
2022,Machine Learning Engineer,ML/AI,Mid-Level,Part-Time,In-person,Mexico,Large,128600
2021,Data Analyst,Engineering,Senior,Part-Time,In-person,India,Small,118393
2022,Machine Learning Engineer,Data Science,Entry-Level,Part-Time,Hybrid,Germany,Small,145774
2021,Statistician,Data Science,Executive,Freelance,Hybrid,Japan,Small,58941
2021,Data Engineer,ML/AI,Entry-Level,Full-Time,Remote,United States,Large,67962
2021,Statistician,ML/AI,Senior,Freelance,In-person,China,Small,199645
2021,Data Scientist,ML/AI,Mid-Level,Part-Time,Remote,India,Medium,151410
2021,Machine Learning Engineer,Data Science,Mid-Level,Part-Time,Hybrid,Mexico,Medium,186764
2020,Data Engineer,Data Science,Senior,Contract,In-person,United Kingdom,Small,88420
2022,Machine Learning Engineer,Analysis,Mid-Level,Contract,Hybrid,Germany,Small,112415
2021,Machine Learning Engineer,ML/AI,Mid-Level,Contract,Hybrid,Japan,Small,196835
2022,Data Analyst,Analysis,Entry-Level,Contract,Hybrid,India,Large,112013
2022,Data Scientist,Engineering,Mid-Level,Part-Time,Remote,China,Medium,149012
2021,Machine Learning Engineer,Analysis,Executive,Freelance,Hybrid,United States,Small,167465
2020,Statistician,Engineering,Senior,Contract,Remote,United Kingdom,Medium,150198
2021,Statistician,Engineering,Entry-Level,Freelance,Hybrid,China,Large,63488
2020,Data Analyst,Analysis,Mid-Level,Contract,Hybrid,Germany,Large,182531
2022,Data Scientist,ML/AI,Executive,Full-Time,In-person,United States,Small,173626
2020,Data Scientist,Engineering,Entry-Level,Contract,Hybrid,Mexico,Small,198939
2020,Statistician,ML/AI,Senior,Freelance,In-person,United States,Small,132330
2020,Data Engineer,Data Science,Mid-Level,Contract,In-person,Germany,Small,35057
2022,Data Analyst,Analysis,Executive,Full-Time,Remote,Mexico,Medium,113026
2022,Data Analyst,Data Science,Senior,Freelance,In-person,United States,Small,35305
2020,Statistician,Analysis,Mid-Level,Freelance,In-person,Mexico,Medium,91276
2020,Statistician,ML/AI,Mid-Level,Freelance,Hybrid,Mexico,Large,193812
